corruption,bin_mid,bin_acc,bin_conf,bin_count
snow,0.5667,0.3182,0.5664,2791
snow,0.6333,0.3506,0.6327,2670
snow,0.7000,0.3855,0.7000,2677
snow,0.7667,0.4547,0.7672,2881
snow,0.8333,0.5437,0.8342,3592
snow,0.9000,0.6373,0.9027,5015
snow,0.9667,0.7593,0.9688,9047
frost,0.0333,0.0367,0.0494,709
frost,0.1000,0.0832,0.1021,2247
frost,0.1667,0.1127,0.1665,2582
frost,0.2333,0.1650,0.2330,2709
frost,0.3000,0.2327,0.3002,2793
frost,0.3667,0.2868,0.3661,2803
frost,0.4333,0.3548,0.4335,2892
frost,0.5000,0.3903,0.4997,2903
frost,0.5667,0.4674,0.5671,2824
frost,0.6333,0.5121,0.6338,2808
frost,0.7000,0.5893,0.7004,2849
frost,0.7667,0.6485,0.7673,3078
frost,0.8333,0.7165,0.8345,3693
frost,0.9000,0.7886,0.9030,5188
frost,0.9667,0.9099,0.9676,9922
fog,0.0333,0.0689,0.0440,929
fog,0.1000,0.1407,0.1021,2025
fog,0.1667,0.2213,0.1680,2445
fog,0.2333,0.2853,0.2344,2773
fog,0.3000,0.3462,0.2999,2912
fog,0.3667,0.3827,0.3669,3070
fog,0.4333,0.4344,0.4333,2979
fog,0.5000,0.4895,0.4991,3040
fog,0.5667,0.5217,0.5659,2862
fog,0.6333,0.5688,0.6332,2653
fog,0.7000,0.5809,0.6998,2613
fog,0.7667,0.6408,0.7673,2698
fog,0.8333,0.6866,0.8342,3092
fog,0.9000,0.7898,0.9033,4553
fog,0.9667,0.9244,0.9701,11356
brightness,0.0333,0.0374,0.0405,214
brightness,0.1000,0.1196,0.1024,669
brightness,0.1667,0.1574,0.1690,1061
brightness,0.2333,0.1884,0.2347,1221
brightness,0.3000,0.2346,0.3009,1492
brightness,0.3667,0.3013,0.3674,1729
brightness,0.4333,0.3223,0.4342,1905
brightness,0.5000,0.3920,0.5008,2306
brightness,0.5667,0.4505,0.5668,2271
brightness,0.6333,0.5102,0.6345,2164
brightness,0.7000,0.5850,0.7003,2458
brightness,0.7667,0.6509,0.7676,2965
brightness,0.8333,0.7414,0.8358,3875
brightness,0.9000,0.8511,0.9041,7044
brightness,0.9667,0.9391,0.9724,18626
contrast,0.0333,0.1021,0.0395,4576
contrast,0.1000,0.2074,0.0956,3119
contrast,0.1667,0.2806,0.1646,1611
contrast,0.2333,0.2931,0.2316,1068
contrast,0.3000,0.2229,0.2991,767
contrast,0.3667,0.2105,0.3662,608
contrast,0.4333,0.1881,0.4335,654
contrast,0.5000,0.1885,0.5001,610
contrast,0.5667,0.1419,0.5661,599
contrast,0.6333,0.0991,0.6340,585
contrast,0.7000,0.0556,0.7008,648
contrast,0.7667,0.0353,0.7675,851
contrast,0.8333,0.0148,0.8352,1217
contrast,0.9000,0.0073,0.9042,2194
contrast,0.9667,0.0005,0.9909,30893
