corruption,bin_mid,bin_acc,bin_conf,bin_count
snow,0.5667,0.4714,0.5662,2853
snow,0.6333,0.5306,0.6336,2793
snow,0.7000,0.6219,0.7004,2938
snow,0.7667,0.7126,0.7675,3556
snow,0.8333,0.8238,0.8353,4290
snow,0.9000,0.8815,0.8910,2997
snow,0.9667,0.8667,0.9449,120
frost,0.0333,0.0624,0.0507,1924
frost,0.1000,0.1312,0.1001,5657
frost,0.1667,0.2325,0.1665,5635
frost,0.2333,0.3329,0.2329,5151
frost,0.3000,0.4356,0.2995,4658
frost,0.3667,0.5426,0.3658,4322
frost,0.4333,0.6468,0.4327,4272
frost,0.5000,0.7407,0.5000,4181
frost,0.5667,0.8154,0.5671,4116
frost,0.6333,0.8426,0.6324,3527
frost,0.7000,0.8683,0.6979,2915
frost,0.7667,0.8739,0.7642,2014
frost,0.8333,0.8748,0.8305,1214
frost,0.9000,0.9126,0.8906,389
frost,0.9667,1.0000,0.9444,25
fog,0.0333,0.1090,0.0474,4495
fog,0.1000,0.2461,0.1005,9941
fog,0.1667,0.4313,0.1660,9427
fog,0.2333,0.6065,0.2330,8589
fog,0.3000,0.7011,0.2986,7167
fog,0.3667,0.7459,0.3637,4798
fog,0.4333,0.7378,0.4293,2624
fog,0.5000,0.7633,0.4967,1369
fog,0.5667,0.7438,0.5626,691
fog,0.6333,0.7725,0.6305,356
fog,0.7000,0.7821,0.6958,234
fog,0.7667,0.8370,0.7643,184
fog,0.8333,0.9000,0.8290,90
fog,0.9000,0.7812,0.8892,32
fog,0.9667,0.3333,0.9526,3
brightness,0.0333,0.0614,0.0422,342
brightness,0.1000,0.1260,0.1029,1111
brightness,0.1667,0.1795,0.1683,1632
brightness,0.2333,0.2503,0.2343,1974
brightness,0.3000,0.2990,0.3007,2314
brightness,0.3667,0.3755,0.3671,2493
brightness,0.4333,0.4284,0.4342,2806
brightness,0.5000,0.5191,0.5004,2780
brightness,0.5667,0.5959,0.5672,2836
brightness,0.6333,0.6616,0.6342,3171
