corruption,bin_mid,bin_acc,bin_conf,bin_count
snow,0.5667,0.3183,0.5664,2796
snow,0.6333,0.3500,0.6328,2666
snow,0.7000,0.3863,0.7000,2674
snow,0.7667,0.4544,0.7672,2883
snow,0.8333,0.5449,0.8342,3597
snow,0.9000,0.6377,0.9028,5015
snow,0.9667,0.7589,0.9688,9024
frost,0.0333,0.0351,0.0494,713
frost,0.1000,0.0835,0.1021,2251
frost,0.1667,0.1136,0.1665,2589
frost,0.2333,0.1662,0.2330,2719
frost,0.3000,0.2340,0.3001,2795
frost,0.3667,0.2870,0.3661,2812
frost,0.4333,0.3558,0.4336,2903
frost,0.5000,0.3892,0.4997,2896
frost,0.5667,0.4681,0.5670,2822
frost,0.6333,0.5138,0.6338,2816
frost,0.7000,0.5918,0.7004,2842
frost,0.7667,0.6483,0.7673,3088
frost,0.8333,0.7171,0.8346,3683
frost,0.9000,0.7871,0.9031,5180
frost,0.9667,0.9103,0.9676,9891
fog,0.0333,0.0686,0.0440,933
fog,0.1000,0.1412,0.1019,2033
fog,0.1667,0.2262,0.1679,2467
fog,0.2333,0.2834,0.2342,2777
fog,0.3000,0.3460,0.2997,2928
fog,0.3667,0.3860,0.3668,3088
fog,0.4333,0.4369,0.4334,2989
fog,0.5000,0.4886,0.4992,3021
fog,0.5667,0.5221,0.5659,2875
fog,0.6333,0.5696,0.6332,2628
fog,0.7000,0.5811,0.6998,2614
fog,0.7667,0.6382,0.7674,2678
fog,0.8333,0.6862,0.8342,3085
fog,0.9000,0.7906,0.9034,4555
fog,0.9667,0.9244,0.9701,11329
brightness,0.0333,0.0374,0.0405,214
brightness,0.1000,0.1209,0.1023,670
brightness,0.1667,0.1565,0.1688,1061
brightness,0.2333,0.1916,0.2347,1232
brightness,0.3000,0.2332,0.3009,1488
brightness,0.3667,0.3038,0.3674,1741
brightness,0.4333,0.3207,0.4343,1896
brightness,0.5000,0.3913,0.5007,2313
brightness,0.5667,0.4519,0.5668,2275
brightness,0.6333,0.5127,0.6345,2163
brightness,0.7000,0.5840,0.7003,2469
brightness,0.7667,0.6541,0.7677,2975
brightness,0.8333,0.7407,0.8359,3868
