corruption,acc
fog,92.27
defocus_blur,91.57
zoom_blur,90.69
elastic_transform,87.16
brightness,93.91
snow,88.54
frost,88.96
glass_blur,73.65
impulse_noise,79.78
motion_blur,89.16
contrast,93.48
shot_noise,80.57
gaussian_noise,76.74
jpeg_compression,78.34
pixelate,89.43
Mean,86.28
