corruption,acc
fog,92.72
defocus_blur,92.13
zoom_blur,91.50
elastic_transform,87.76
brightness,93.51
snow,88.22
frost,88.65
glass_blur,75.40
impulse_noise,79.50
motion_blur,87.50
contrast,92.40
shot_noise,80.38
gaussian_noise,77.29
jpeg_compression,77.15
pixelate,87.44
Mean,86.10
