corruption,acc
fog,92.53
defocus_blur,91.75
zoom_blur,91.00
elastic_transform,87.40
brightness,93.66
snow,88.46
frost,88.71
glass_blur,73.33
impulse_noise,79.63
motion_blur,88.18
contrast,92.66
shot_noise,79.73
gaussian_noise,76.29
jpeg_compression,77.01
pixelate,88.31
Mean,85.91
