corruption,acc
shot_noise,77.13
brightness,93.79
fog,92.70
motion_blur,88.71
contrast,93.31
impulse_noise,80.68
defocus_blur,91.90
snow,88.60
frost,89.07
glass_blur,75.58
gaussian_noise,76.60
jpeg_compression,77.84
elastic_transform,86.60
zoom_blur,90.16
pixelate,89.30
Mean,86.13
