corruption,acc
jpeg_compression,74.46
pixelate,87.61
elastic_transform,87.10
contrast,93.21
brightness,93.95
fog,92.86
frost,88.95
snow,88.93
zoom_blur,91.10
motion_blur,89.10
glass_blur,74.79
defocus_blur,91.97
impulse_noise,80.28
shot_noise,81.14
gaussian_noise,77.13
Mean,86.17
