corruption,TENT
gaussian_noise,37.32
shot_noise,35.62
impulse_noise,24.60
defocus_blur,62.25
glass_blur,31.44
motion_blur,57.83
zoom_blur,62.61
snow,58.30
frost,53.43
fog,60.47
brightness,68.86
contrast,50.76
elastic_transform,41.11
pixelate,56.74
jpeg_compression,37.24
Mean,49.24
