corruption,A7_WeakMemory
gaussian_noise,77.6
shot_noise,81.6
impulse_noise,81.2
defocus_blur,89.7
glass_blur,75.5
motion_blur,86.6
zoom_blur,88.9
snow,87.0
frost,87.7
fog,90.2
brightness,91.8
contrast,91.5
elastic_transform,86.7
pixelate,88.5
jpeg_compression,79.2
Mean,85.6
