corruption,acc
jpeg_compression,74.46
brightness,93.66
gaussian_noise,73.73
pixelate,88.29
zoom_blur,90.72
motion_blur,88.72
defocus_blur,91.91
frost,89.12
snow,89.01
contrast,93.43
glass_blur,75.12
shot_noise,81.24
elastic_transform,87.96
fog,92.64
impulse_noise,80.89
Mean,86.06
