corruption,acc
fog,93.20
defocus_blur,92.35
zoom_blur,91.45
elastic_transform,86.68
brightness,91.90
snow,87.10
frost,87.13
glass_blur,74.94
impulse_noise,75.69
motion_blur,82.61
contrast,87.82
shot_noise,76.77
gaussian_noise,72.98
jpeg_compression,72.16
pixelate,80.92
Mean,83.58
