method,ms_mean,ms_std,extra_mb,gate_pct
Baseline,38.34,0.87,0.0,0.0
TENT,95.85,1.76,2446.1,100.0
EATA,97.48,1.81,2447.3,100.0
CoTTA,260.34,3.76,2546.0,100.0
RoTTA,2222.66,244.80,4988.1,100.0
SAR,134.20,22.51,283.3,100.0
ContinualTTA,43.27,1.01,2421.4,16.1
