corruption,A3_NoPrototype
gaussian_noise,76.43
shot_noise,80.71
impulse_noise,80.82
defocus_blur,91.52
glass_blur,74.88
motion_blur,88.41
zoom_blur,90.44
snow,88.54
frost,88.95
fog,92.25
brightness,93.43
contrast,92.98
elastic_transform,87.93
pixelate,89.59
jpeg_compression,78.62
Mean,86.37
