method,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19,block_20,block_21,block_22,block_23,block_24,block_25,block_26,block_27,block_28,block_29,block_30,block_31,block_32,block_33,block_34,block_35,block_36,block_37,block_38,block_39,block_40,block_41,block_42,block_43,block_44,block_45,block_46,block_47,block_48,block_49,block_50,block_51,block_52,block_53,block_54,block_55,block_56,block_57,block_58,block_59,block_60,block_61,block_62,block_63,block_64,block_65,block_66,block_67,block_68,block_69,block_70,block_71,block_72,block_73,block_74,block_75
Baseline,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TENT,0.015193,0.021159,0.026432,0.029248,0.038385,0.040901,0.043615,0.046098,0.048336,0.050046,0.051708,0.053313,0.056811,0.059405,0.063894,0.068394,0.070985,0.073851,0.074980,0.079025,0.081333,0.082838,0.084633,0.086780,0.087652,0.088579,0.089701,0.091516,0.093335,0.096862,0.100178,0.102668,0.104774,0.105526,0.108278,0.109864,0.111202,0.112704,0.114461,0.115660,0.116611,0.117597,0.119304,0.120910,0.123703,0.126538,0.128540,0.130883,0.132085,0.134603,0.135790,0.136809,0.138220,0.139159,0.140039,0.140800,0.141689,0.143340,0.144657,0.146658,0.148888,0.150641,0.152868,0.154102,0.155982,0.157518,0.158291,0.159612,0.160864,0.162244,0.163014,0.164240,0.165876,0.167128,0.168685
SAR,0.000530,0.000057,0.000017,0.000020,0.000766,0.000015,0.000022,0.000027,0.000025,0.000004,0.000016,0.000000,0.000023,0.000005,0.000507,0.001152,0.000518,0.000936,0.000012,0.000743,0.000042,0.000023,0.000051,0.000022,0.000010,0.000010,0.000004,0.000022,0.000025,0.000631,0.001478,0.001977,0.002327,0.000007,0.000726,0.000049,0.000010,0.000050,0.000130,0.000017,0.000008,0.000016,0.000024,0.000020,0.000680,0.001582,0.002185,0.002689,0.000047,0.000965,0.000051,0.000047,0.000022,0.000136,0.000022,0.000023,0.000009,0.000474,0.000148,0.000818,0.001770,0.002452,0.003044,0.000299,0.001116,0.000061,0.000051,0.000460,0.000870,0.000073,0.000026,0.000061,0.000675,0.001202,0.001715
ContinualTTA,0.002821,0.004756,0.006897,0.008472,0.008664,0.010465,0.011890,0.013466,0.014874,0.016179,0.017404,0.018644,0.019969,0.021426,0.022363,0.023207,0.024778,0.026140,0.027225,0.027856,0.029154,0.029977,0.030944,0.032067,0.032647,0.033097,0.033757,0.034545,0.035532,0.036126,0.036804,0.037996,0.038843,0.039715,0.040473,0.041616,0.042315,0.043161,0.043967,0.044651,0.045062,0.045610,0.046213,0.046971,0.047543,0.048050,0.048828,0.049260,0.050199,0.050920,0.051710,0.052361,0.052964,0.053510,0.054143,0.054691,0.055056,0.055735,0.056518,0.056970,0.057366,0.058019,0.058527,0.059461,0.059790,0.060545,0.061096,0.061628,0.062174,0.062661,0.063146,0.063664,0.064111,0.064788,0.065173
