corruption,src_acc,src_ece,tent_acc,tent_ece,cgt_acc,cgt_ece,cgt_gate_rate,delta_acc,delta_ece
gaussian_noise,0.332980,0.121071,0.031540,0.591628,0.031460,0.589504,0.631860,-0.000080,0.002124
impulse_noise,0.323740,0.122897,0.030700,0.592464,0.030560,0.590420,0.624660,-0.000140,0.002044
glass_blur,0.159020,0.158376,0.018640,0.645971,0.018660,0.644022,0.676320,0.000020,0.001949
